source,strategy,src_codec,src_pix,res,fps,src_dur_s,out_codec,out_pix,container,gop_frames,elapsed_s,realtime_x,enc_fps,cpu_pct,gpu_pct,src_mb,out_mb,size_x,out_mbps,seek_med_ms,seek_p95_ms,seek_max_ms,spawn_ms,status
game_4k60_vp9,remux_mp4,vp9,yuv420p,3840x2160,60.0,60.5,vp9,yuv420p,mp4,-,0.07,809.16,48546.5,-1,-1,38.7,38.8,1.001,5.13,301.0,585.0,712.7,113.1,ok
game_4k60_vp9,mpeg4_g250ms,vp9,yuv420p,3840x2160,60.0,60.5,mpeg4,yuv420p,mp4,15,9.69,6.25,374.7,69.9,68.8,38.7,193.9,5.007,25.64,108.1,135.5,149.7,81.5,ok
game_4k60_vp9,mpeg4_g500ms,vp9,yuv420p,3840x2160,60.0,60.5,mpeg4,yuv420p,mp4,30,9.5,6.37,382.2,71.3,91.2,38.7,164.0,4.235,21.68,115.8,146.7,155.9,84.3,ok
game_4k60_vp9,mpeg4_g1000ms,vp9,yuv420p,3840x2160,60.0,60.5,mpeg4,yuv420p,mp4,60,9.93,6.09,365.5,73.5,66.0,38.7,149.0,3.848,19.7,129.9,152.4,163.7,92.8,ok
game_4k60_vp9,mpeg4_g500ms_q5,vp9,yuv420p,3840x2160,60.0,60.5,mpeg4,yuv420p,mp4,30,10.79,5.61,336.6,77.5,79.8,38.7,159.8,4.128,21.13,116.0,141.3,153.9,82.8,ok
game_4k60_vp9,av1_nvenc_g500ms,vp9,yuv420p,3840x2160,60.0,60.5,av1,yuv420p,mp4,30,9.83,6.16,369.5,26.2,94.1,38.7,133.5,3.448,17.65,104.9,191.1,213.3,51.1,ok
game_4k60_vp9,av1_nvenc_g1000ms,vp9,yuv420p,3840x2160,60.0,60.5,av1,yuv420p,mp4,60,10.47,5.78,346.8,24.7,95.8,38.7,122.0,3.151,16.13,138.9,271.6,324.9,53.4,ok
game_4k60_vp9,av1_nvenc_g500ms_p4,vp9,yuv420p,3840x2160,60.0,60.5,av1,yuv420p,mp4,30,28.14,2.15,129.0,28.9,88.3,38.7,129.0,3.332,17.06,157.2,307.1,336.9,61.2,ok
game_4k60_vp9,svtav1_p12_g500ms,vp9,yuv420p,3840x2160,60.0,60.5,av1,yuv420p,mp4,30,39.15,1.55,92.7,75.0,42.4,38.7,53.6,1.385,7.09,88.1,118.3,149.8,63.0,ok
game_4k60_vp9,vp9_rt_g500ms,vp9,yuv420p,3840x2160,60.0,60.5,vp9,yuv420p,mkv,30,21.44,2.82,169.3,71.3,7.1,38.7,89.3,2.305,11.8,139.4,177.8,181.1,93.8,ok
